"ref_area","source","indicator","time","obs_value","obs_status","best_source"
"AFG","XA:2198","SDG_1041_NOC_RT","2026",40.749,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2025",40.771,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2024",40.823,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2023",40.762,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2022",41.456,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2021",40.176,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2020",40.252,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2019",40.851,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2018",41.067,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2017",40.967,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2016",41.114,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2015",41.271,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2014",41.274,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2013",41.164,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2012",40.761,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2011",41.817,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2010",40.958,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2009",40.654,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2008",42.157,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2007",41.502,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2006",42.211,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2005",41.847,"I",1
"AFG","XA:2198","SDG_1041_NOC_RT","2004",42.64,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2026",43.973,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2025",43.971,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2024",43.598,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2023",44.294,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2022",44.005,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2021",43.674,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2020",44.333,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2019",43.994,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2018",43.953,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2017",43.11,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2016",42.473,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2015",45.851,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2014",38.235,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2013",41.439,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2012",44.074,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2011",46.131,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2010",46.363,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2009",59.971,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2008",41.522,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2007",39.48,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2006",38.387,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2005",37.795,"I",1
"AGO","XA:2010","SDG_1041_NOC_RT","2004",45.122,"I",1
"ALB","XA:2137","SDG_1041_NOC_RT","2026",44.49,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2025",44.539,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2024",44.355,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2023",44.359,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2022",44.221,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2021",43.166,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2020",45.55,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2019",44.136,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2018",43.813,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2017",43.899,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2016",43.871,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2015",44.24,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2014",44.181,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2013",44.36,"NA",1
"ALB","XA:2137","SDG_1041_NOC_RT","2012",44.683,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2011",44.88,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2010",45.123,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2009",45.045,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2008",43.982,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2007",43.776,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2006",43.669,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2005",43.682,"M",1
"ALB","XA:2137","SDG_1041_NOC_RT","2004",43.795,"M",1
"ARE","XA:1978","SDG_1041_NOC_RT","2026",36.791,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2025",36.838,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2024",37.059,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2023",36.853,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2022",34.262,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2021",37.083,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2020",41.509,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2019",35.811,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2018",32.633,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2017",33.905,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2016",33.793,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2015",31.642,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2014",26.127,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2013",25.55,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2012",23.874,"I",1
"ARE","XA:1978","SDG_1041_NOC_RT","2011",23.66,"I",1
