isocode,group,year,value,observation_status
AUT,AE,2013,2587.586,D
AUT,AE,2014,2647.489,D
AUT,AE,2015,2744.844,D
AUT,AE,2016,2875.706,D
AUT,AE,2017,2889.779,D
AUT,AE,2018,2913.369,D
AUT,AE,2019,3009.644,D
AUT,AE,2020,3287.074,D
AUT,AE,2021,3269.58,D
AUT,AE,2022,3605.8,D
AUT,AE,2023,4095.492,D
AUT,AE,2024,4403.323,D
AUT,AE,2025,4851.029,D
BEL,AE,2013,2522.459,
BEL,AE,2014,2728.142,
BEL,AE,2015,2537.333,
BEL,AE,2016,2686.3782,
BEL,AE,2017,2937.849444,
BEL,AE,2018,2938.965429,
BEL,AE,2019,3312.6809,
BEL,AE,2020,3448.158752,
BEL,AE,2021,3730.072703,
BEL,AE,2022,3887.079349,
BEL,AE,2023,3914.218373,
BEL,AE,2024,4052.979404,
BGR,EMDE,2013,102.4731188,
BGR,EMDE,2014,105.6226768,
BGR,EMDE,2015,108.634186,
BGR,EMDE,2016,95.85188897,
BGR,EMDE,2017,109.5545114,
BGR,EMDE,2018,114.1050091,
BGR,EMDE,2019,136.6734328,
BGR,EMDE,2020,145.1046359,
BGR,EMDE,2021,166.5942337,
BGR,EMDE,2022,187.0203443,
BGR,EMDE,2023,213.4387958,
BGR,EMDE,2024,247.0270934,
CHE,AE,2014,5705.996676,
CHE,AE,2015,5873.415648,
CHE,AE,2017,6842.131633,B
CHE,AE,2018,6682.579363,
CHE,AE,2019,6923.689618,
CHE,AE,2020,7265.051522,
CHE,AE,2021,7371.999495,
CHE,AE,2022,7664.77,
CHE,AE,2023,7837.41,
CHE,AE,2024,7722.841545,
CHL,EMDE,2013,280229.747,
CHL,EMDE,2014,309676.821,
CHL,EMDE,2015,321572.515,
CHL,EMDE,2016,372153.1714,
CHL,EMDE,2017,388352.4505,
CHL,EMDE,2018,414224.195,
CHL,EMDE,2019,408798.566,
CHL,EMDE,2020,417461.6878,
CHL,EMDE,2021,449791.1608,
CHL,EMDE,2022,466449.7078,
CHL,EMDE,2023,523306.9397,
COL,EMDE,2013,630387.4645,
COL,EMDE,2014,655824.1544,
COL,EMDE,2015,791587.8561,
COL,EMDE,2016,660734.8967,
COL,EMDE,2017,821303.5636,
COL,EMDE,2018,739961.4466,
COL,EMDE,2019,736336.0018,
COL,EMDE,2020,636534.8152,
CZE,AE,2013,26705.1384,
CZE,AE,2014,27284.10211,
CZE,AE,2015,27829.778,
CZE,AE,2016,27984.351,
CZE,AE,2017,30653.30993,
CZE,AE,2018,33382.637,
CZE,AE,2019,35813.011,
CZE,AE,2020,38090.058,
CZE,AE,2021,38294.8957,
CZE,AE,2022,38485.19,
CZE,AE,2023,39039.07,
CZE,AE,2024,40040.84219,
CZE,AE,2025,43305.15746,P
DEU,AE,2013,25370.994,
DEU,AE,2014,25518.16,
DEU,AE,2015,26532.81,
DEU,AE,2016,28349.09901,
DEU,AE,2017,30160.77756,
DEU,AE,2018,31759.93,
DEU,AE,2019,33994.96,
DEU,AE,2020,37171.11,
DEU,AE,2021,40451.534,
DEU,AE,2022,43055.2549,
DEU,AE,2023,44090.06,
DEU,AE,2024,44917.61223,
DNK,AE,2013,19663.2,
DNK,AE,2014,19841.8,
DNK,AE,2015,20414.4,E
DNK,AE,2016,19076.2,E
DNK,AE,2017,19440.4,E
DNK,AE,2018,19990.5,E
DNK,AE,2019,20645.6,E
DNK,AE,2020,22536.8,E
DNK,AE,2021,23124.0,E
DNK,AE,2022,23119.6,E
DNK,AE,2023,24644.0,E
DNK,AE,2024,26093.0,E
ESP,AE,2013,5682.1779,
ESP,AE,2014,5776.6616,
ESP,AE,2015,6042.3426,
ESP,AE,2016,6055.255,
ESP,AE,2017,5996.533,
ESP,AE,2018,6268.69,
ESP,AE,2019,6482.661,
ESP,AE,2020,6963.1523,
ESP,AE,2021,7492.490813,
ESP,AE,2022,8002.48,
ESP,AE,2023,8996.56,
ESP,AE,2024,9512.013419,
EST,AE,2013,153.963,E
EST,AE,2014,141.855,E
EST,AE,2015,140.455,E
EST,AE,2016,145.15,B
EST,AE,2017,143.15,
EST,AE,2018,182.39,
EST,AE,2019,175.42,
EST,AE,2020,187.16,
EST,AE,2021,215.73,
EST,AE,2022,260.34,
EST,AE,2023,337.3,
EST,AE,2024,317.652341,
FIN,AE,2013,2017.901,
FIN,AE,2014,2001.6,
FIN,AE,2015,2001.6,
FIN,AE,2016,1836.42,
FIN,AE,2017,1885.91,
FIN,AE,2018,1951.0,
FIN,AE,2019,2008.9,
FIN,AE,2020,2286.6,
FIN,AE,2021,2235.61,
FIN,AE,2022,2402.36,
FIN,AE,2023,2348.65,
FIN,AE,2024,2498.7033,
FRA,AE,2013,14980.5944,
FRA,AE,2014,14818.205,
FRA,AE,2015,14173.486,
FRA,AE,2016,14048.1734,
FRA,AE,2017,14747.8687,
FRA,AE,2018,15560.34375,
FRA,AE,2019,16181.86209,
FRA,AE,2020,17008.80541,
FRA,AE,2021,17659.90502,E
FRA,AE,2022,17899.70496,
FRA,AE,2023,18265.74,
FRA,AE,2024,18924.28455,
GBR,AE,2013,9985.7,
GBR,AE,2014,10177.4,
GBR,AE,2015,10155.2,
GBR,AE,2016,10333.8,
GBR,AE,2017,10953.6,
GBR,AE,2018,11818.0,
GBR,AE,2019,12174.39,
GBR,AE,2020,14004.97,
GBR,AE,2021,14027.29,
GBR,AE,2022,15501.58,
GBR,AE,2023,17038.57,
GRC,AE,2013,858.64,
GRC,AE,2014,781.56,
GRC,AE,2015,923.02,
GRC,AE,2016,946.26,
GRC,AE,2017,884.64,
GRC,AE,2018,1118.01,
GRC,AE,2019,1288.44,
GRC,AE,2020,1463.21,
GRC,AE,2021,1550.211783,
GRC,AE,2022,1537.49,
GRC,AE,2023,1280.89,B
GRC,AE,2024,1305.489813,
HRV,AE,2013,270.29,
HRV,AE,2014,311.47,
HRV,AE,2015,361.4,
HRV,AE,2016,343.41,
HRV,AE,2017,350.69,
HRV,AE,2018,389.07,
HRV,AE,2019,415.85,
HRV,AE,2020,393.54,
HRV,AE,2021,413.23,
HRV,AE,2022,445.12,
