isocode,group,transaction,function,year,value,observation_status
AUT,AE,P51G,GF01,2000,1244.0,A
AUT,AE,P51G,GF02,2000,338.0,A
AUT,AE,P51G,GF03,2000,189.92,A
AUT,AE,P51G,GF04,2000,1578.99,A
AUT,AE,P51G,GF05,2000,70.58,A
AUT,AE,P51G,GF06,2000,54.63,A
AUT,AE,P51G,GF07,2000,1073.56,A
AUT,AE,P51G,GF08,2000,441.08,A
AUT,AE,P51G,GF09,2000,646.86,A
AUT,AE,P51G,GF10,2000,101.59,A
AUT,AE,P51G,GF01,2001,1257.39,A
AUT,AE,P51G,GF02,2001,285.58,A
AUT,AE,P51G,GF03,2001,189.17,A
AUT,AE,P51G,GF04,2001,1538.86,A
AUT,AE,P51G,GF05,2001,72.76,A
AUT,AE,P51G,GF06,2001,52.28,A
AUT,AE,P51G,GF07,2001,959.18,A
AUT,AE,P51G,GF08,2001,428.38,A
AUT,AE,P51G,GF09,2001,526.65,A
AUT,AE,P51G,GF10,2001,98.94,A
AUT,AE,P51G,GF01,2002,1475.74,A
AUT,AE,P51G,GF02,2002,289.77,A
AUT,AE,P51G,GF03,2002,209.06,A
AUT,AE,P51G,GF04,2002,1875.48,A
AUT,AE,P51G,GF05,2002,69.39,A
AUT,AE,P51G,GF06,2002,55.88,A
AUT,AE,P51G,GF07,2002,1069.87,A
AUT,AE,P51G,GF08,2002,421.92,A
AUT,AE,P51G,GF09,2002,560.77,A
AUT,AE,P51G,GF10,2002,85.92,A
AUT,AE,P51G,GF01,2003,1122.66,A
AUT,AE,P51G,GF02,2003,349.51,A
AUT,AE,P51G,GF03,2003,200.47,A
AUT,AE,P51G,GF04,2003,1954.4,A
AUT,AE,P51G,GF05,2003,72.3,A
AUT,AE,P51G,GF06,2003,57.53,A
AUT,AE,P51G,GF07,2003,1170.63,A
AUT,AE,P51G,GF08,2003,398.28,A
AUT,AE,P51G,GF09,2003,551.59,A
AUT,AE,P51G,GF10,2003,111.26,A
AUT,AE,P51G,GF01,2004,1179.05,A
AUT,AE,P51G,GF02,2004,408.56,A
AUT,AE,P51G,GF03,2004,220.2,A
AUT,AE,P51G,GF04,2004,1880.78,A
AUT,AE,P51G,GF05,2004,42.3,A
AUT,AE,P51G,GF06,2004,56.35,A
AUT,AE,P51G,GF07,2004,1258.2,A
AUT,AE,P51G,GF08,2004,396.55,A
AUT,AE,P51G,GF09,2004,477.47,A
AUT,AE,P51G,GF10,2004,102.67,A
AUT,AE,P51G,GF01,2005,1323.41,A
AUT,AE,P51G,GF02,2005,317.31,A
AUT,AE,P51G,GF03,2005,197.79,A
AUT,AE,P51G,GF04,2005,3419.96,A
AUT,AE,P51G,GF05,2005,63.23,A
AUT,AE,P51G,GF06,2005,66.19,A
AUT,AE,P51G,GF07,2005,1376.96,A
AUT,AE,P51G,GF08,2005,296.11,A
AUT,AE,P51G,GF09,2005,417.31,A
AUT,AE,P51G,GF10,2005,95.84,A
AUT,AE,P51G,GF01,2006,1402.75,A
AUT,AE,P51G,GF02,2006,222.12,A
AUT,AE,P51G,GF03,2006,170.9,A
AUT,AE,P51G,GF04,2006,3739.87,A
AUT,AE,P51G,GF05,2006,69.36,A
AUT,AE,P51G,GF06,2006,53.13,A
AUT,AE,P51G,GF07,2006,1246.5,A
AUT,AE,P51G,GF08,2006,443.37,A
AUT,AE,P51G,GF09,2006,404.18,A
AUT,AE,P51G,GF10,2006,106.68,A
AUT,AE,P51G,GF01,2007,1447.12,A
AUT,AE,P51G,GF02,2007,714.85,A
AUT,AE,P51G,GF03,2007,182.65,A
AUT,AE,P51G,GF04,2007,3714.34,A
AUT,AE,P51G,GF05,2007,69.66,A
AUT,AE,P51G,GF06,2007,59.94,A
AUT,AE,P51G,GF07,2007,1439.24,A
AUT,AE,P51G,GF08,2007,421.04,A
AUT,AE,P51G,GF09,2007,420.43,A
AUT,AE,P51G,GF10,2007,103.6,A
AUT,AE,P51G,GF01,2008,1671.29,A
AUT,AE,P51G,GF02,2008,1096.23,A
AUT,AE,P51G,GF03,2008,209.94,A
AUT,AE,P51G,GF04,2008,3972.23,A
AUT,AE,P51G,GF05,2008,71.42,A
AUT,AE,P51G,GF06,2008,64.77,A
AUT,AE,P51G,GF07,2008,1500.68,A
AUT,AE,P51G,GF08,2008,458.79,A
AUT,AE,P51G,GF09,2008,530.73,A
AUT,AE,P51G,GF10,2008,82.6,A
AUT,AE,P51G,GF01,2009,1883.06,A
AUT,AE,P51G,GF02,2009,407.77,A
AUT,AE,P51G,GF03,2009,210.44,A
AUT,AE,P51G,GF04,2009,4407.53,A
AUT,AE,P51G,GF05,2009,70.72,A
AUT,AE,P51G,GF06,2009,69.69,A
AUT,AE,P51G,GF07,2009,1619.94,A
AUT,AE,P51G,GF08,2009,428.95,A
AUT,AE,P51G,GF09,2009,604.57,A
AUT,AE,P51G,GF10,2009,103.65,A
AUT,AE,P51G,GF01,2010,2004.31,A
AUT,AE,P51G,GF02,2010,226.77,A
AUT,AE,P51G,GF03,2010,184.56,A
AUT,AE,P51G,GF04,2010,4317.23,A
AUT,AE,P51G,GF05,2010,71.79,A
AUT,AE,P51G,GF06,2010,57.46,A
AUT,AE,P51G,GF07,2010,1707.53,A
AUT,AE,P51G,GF08,2010,410.65,A
AUT,AE,P51G,GF09,2010,600.34,A
AUT,AE,P51G,GF10,2010,93.2,A
AUT,AE,P51G,GF01,2011,1909.15,A
AUT,AE,P51G,GF02,2011,207.15,A
AUT,AE,P51G,GF03,2011,177.76,A
AUT,AE,P51G,GF04,2011,4107.99,A
AUT,AE,P51G,GF05,2011,75.95,A
AUT,AE,P51G,GF06,2011,59.64,A
AUT,AE,P51G,GF07,2011,1727.39,A
AUT,AE,P51G,GF08,2011,404.58,A
AUT,AE,P51G,GF09,2011,594.65,A
AUT,AE,P51G,GF10,2011,129.28,A
AUT,AE,P51G,GF01,2012,1772.22,A
AUT,AE,P51G,GF02,2012,173.4,A
AUT,AE,P51G,GF03,2012,175.07,A
AUT,AE,P51G,GF04,2012,4011.39,A
AUT,AE,P51G,GF05,2012,78.88,A
AUT,AE,P51G,GF06,2012,72.22,A
AUT,AE,P51G,GF07,2012,1822.91,A
