country,iso3,group,year,currency,government_investment_millions,gdp_millions,government_investment_pct_gdp,government_investment_transaction,gdp_transaction
Austria,AUT,AE,2023,EUR,18074.130,477837.326,3.7825,P5L,B1GQ
Belgium,BEL,AE,2023,EUR,17643.900,601866.500,2.9315,P5L,B1GQ
Croatia,HRV,AE,2023,EUR,4515.100,79186.331,5.7019,P5L,B1GQ
Czechia,CZE,AE,2023,CZK,376010.000,7659655.000,4.9090,P5L,B1GQ
Denmark,DNK,AE,2023,DKK,86523.000,2781327.755,3.1109,P5L,B1GQ
Estonia,EST,AE,2023,EUR,2648.200,38353.415,6.9047,P5L,B1GQ
Finland,FIN,AE,2023,EUR,11253.000,273005.000,4.1219,P5L,B1GQ
France,FRA,AE,2023,EUR,122593.600,2833826.400,4.3261,P5L,B1GQ
Germany,DEU,AE,2023,EUR,119580.000,4219310.000,2.8341,P5L,B1GQ
Greece,GRC,AE,2023,EUR,8995.000,224686.245,4.0034,P5L,B1GQ
Iceland,ISL,AE,2023,ISK,178478.600,4373066.986,4.0813,P5L,B1GQ
Ireland,IRL,AE,2023,EUR,12174.700,520792.152,2.3377,P5L,B1GQ
Israel,ISR,AE,2023,ILS,62748.031,1882805.958,3.3327,P5L,B1GQ
Italy,ITA,AE,2023,EUR,68477.000,2142744.400,3.1958,P5L,B1GQ
Japan,JPN,AE,2023,JPY,23434400.000,616033000.000,3.8041,P5L,B1GQ
Korea,KOR,AE,2023,KRW,117770300.000,2408687400.000,4.8894,P5L,B1GQ
Latvia,LVA,AE,2023,EUR,2282.290,39564.221,5.7686,P5L,B1GQ
Lithuania,LTU,AE,2023,EUR,3093.900,74316.975,4.1631,P5L,B1GQ
Luxembourg,LUX,AE,2023,EUR,3992.200,82115.470,4.8617,P5L,B1GQ
Netherlands,NLD,AE,2023,EUR,33751.000,1050133.000,3.2140,P5L,B1GQ
Norway,NOR,AE,2023,NOK,262354.000,5304881.000,4.9455,P5L,B1GQ
Portugal,PRT,AE,2023,EUR,7016.400,270352.615,2.5953,P5L,B1GQ
Slovak Republic,SVK,AE,2023,EUR,4738.700,123538.698,3.8358,P5L,B1GQ
Slovenia,SVN,AE,2023,EUR,3551.020,64050.008,5.5441,P5L,B1GQ
Spain,ESP,AE,2023,EUR,44266.000,1497761.000,2.9555,P5L,B1GQ
Sweden,SWE,AE,2023,SEK,330332.000,6143187.000,5.3772,P5L,B1GQ
Switzerland,CHE,AE,2023,CHF,26757.300,834189.811,3.2076,P5L,B1GQ
United Kingdom,GBR,AE,2023,GBP,85623.000,2752164.000,3.1111,P5L,B1GQ
United States,USA,AE,2023,USD,936822.198,27811520.000,3.3685,P5L,B1GQ
Bulgaria,BGR,EMDE,2023,EUR,3583.400,94525.105,3.7910,P5L,B1GQ
Chile,CHL,EMDE,2023,CLP,6262406.500,282096646.057,2.2200,P5L,B1GQ
Colombia,COL,EMDE,2023,COP,48403000.000,1587200000.000,3.0496,P5L,B1GQ
Costa Rica,CRI,EMDE,2023,CRC,812079.900,47059272.162,1.7257,P5L,B1GQ
Hungary,HUN,EMDE,2023,HUF,4157705.500,75218235.000,5.5275,P5L,B1GQ
Poland,POL,EMDE,2023,PLN,173378.000,3415274.000,5.0765,P5L,B1GQ
Romania,ROU,EMDE,2023,RON,86299.900,1590749.400,5.4251,P5L,B1GQ
