year,Joint human capital + R&D,Human capital investment,R&D investment
2026,-0.199,0.026,-0.363
2027,-0.246,-0.166,-0.282
2028,-0.143,-0.264,-0.034
2029,0.024,-0.288,0.257
2030,0.219,-0.253,0.546
2031,0.425,-0.172,0.817
2032,0.636,-0.057,1.067
2033,0.848,0.086,1.295
2034,1.059,0.249,1.503
2035,1.267,0.426,1.693
2036,1.472,0.614,1.866
2037,1.672,0.809,2.025
2038,1.867,1.007,2.17
2039,2.056,1.208,2.303
2040,2.239,1.407,2.424
2041,2.415,1.605,2.536
2042,2.585,1.8,2.637
2043,2.747,1.99,2.731
2044,2.903,2.175,2.816
2045,3.051,2.355,2.894
2046,3.193,2.529,2.965
2047,3.327,2.697,3.031
2048,3.455,2.857,3.09
2049,3.576,3.011,3.145
2050,3.69,3.158,3.195
