year,Human capital investment,R&D investment,Joint human capital + R&D
2025,0.0,0.0,0.0
2026,0.026,-0.363,-0.199
2027,-0.166,-0.282,-0.246
2028,-0.264,-0.034,-0.143
2029,-0.288,0.257,0.024
2030,-0.253,0.546,0.219
2031,-0.172,0.817,0.425
2032,-0.057,1.067,0.636
2033,0.086,1.295,0.848
2034,0.249,1.503,1.059
2035,0.426,1.693,1.267
2036,0.614,1.866,1.472
2037,0.809,2.025,1.672
2038,1.007,2.17,1.867
2039,1.208,2.303,2.056
2040,1.407,2.424,2.239
2041,1.605,2.536,2.415
2042,1.8,2.637,2.585
2043,1.99,2.731,2.747
2044,2.175,2.816,2.903
2045,2.355,2.894,3.051
2046,2.529,2.965,3.193
2047,2.697,3.031,3.327
2048,2.857,3.09,3.455
2049,3.011,3.145,3.576
2050,3.158,3.195,3.69
