year,Infrastructure: reallocation,Human capital: reallocation,Infrastructure: reallocation and efficiency by 2040,Human capital: reallocation and efficiency by 2040
2025,0.0,0.0,0.0,0.0
2026,-0.063,0.177,-0.435,0.418
2027,0.387,-0.125,0.012,0.021
2028,0.791,-0.233,0.526,-0.184
2029,1.15,-0.187,1.085,-0.221
2030,1.468,-0.028,1.678,-0.12
2031,1.749,0.212,2.296,0.09
2032,1.998,0.509,2.933,0.387
2033,2.218,0.843,3.583,0.752
2034,2.413,1.199,4.242,1.171
2035,2.584,1.567,4.909,1.629
2036,2.736,1.936,5.582,2.118
2037,2.87,2.302,6.261,2.629
2038,2.988,2.659,6.949,3.157
2039,3.091,3.003,7.651,3.695
2040,3.183,3.333,8.377,4.24
2041,3.263,3.646,9.093,4.797
2042,3.334,3.943,9.722,5.373
2043,3.397,4.221,10.276,5.954
2044,3.452,4.482,10.762,6.531
2045,3.5,4.726,11.19,7.094
2046,3.542,4.952,11.566,7.64
2047,3.579,5.161,11.897,8.163
2048,3.612,5.355,12.187,8.662
2049,3.641,5.534,12.443,9.134
2050,3.666,5.698,12.667,9.579
