year,Infrastructure: reallocation,Human capital: reallocation,Infrastructure: reallocation and efficiency by 2040,Human capital: reallocation and efficiency by 2040
2025,0.0,0.0,0.0,0.0
2026,-0.153,0.142,-0.286,0.387
2027,0.519,-0.149,0.378,-0.012
2028,1.123,-0.261,1.008,-0.234
2029,1.661,-0.229,1.599,-0.295
2030,2.139,-0.089,2.154,-0.223
2031,2.565,0.13,2.678,-0.041
2032,2.945,0.406,3.174,0.232
2033,3.285,0.72,3.645,0.577
2034,3.588,1.059,4.094,0.98
2035,3.858,1.411,4.523,1.429
2036,4.1,1.769,4.936,1.914
2037,4.315,2.125,5.335,2.427
2038,4.507,2.476,5.723,2.961
2039,4.679,2.817,6.104,3.511
2040,4.832,3.145,6.483,4.073
2041,4.968,3.46,6.847,4.652
2042,5.09,3.76,7.174,5.254
2043,5.198,4.043,7.465,5.865
2044,5.295,4.311,7.726,6.475
2045,5.381,4.562,7.959,7.075
2046,5.458,4.797,8.166,7.659
2047,5.526,5.017,8.352,8.223
2048,5.587,5.221,8.517,8.763
2049,5.641,5.411,8.664,9.278
2050,5.689,5.586,8.796,9.766
