year,"Infrastructure, closing by 2050","Infrastructure, closing by 2040","Human capital, closing by 2050","Human capital, closing by 2040"
2025,0.0,0.0,0.0,0.0
2026,-0.221,-0.372,0.17,0.241
2027,-0.234,-0.375,0.11,0.146
2028,-0.178,-0.265,0.049,0.049
2029,-0.066,-0.065,-0.005,-0.034
2030,0.092,0.21,-0.045,-0.092
2031,0.29,0.547,-0.067,-0.122
2032,0.521,0.935,-0.072,-0.122
2033,0.779,1.365,-0.057,-0.091
2034,1.059,1.829,-0.024,-0.028
2035,1.36,2.325,0.027,0.062
2036,1.676,2.846,0.096,0.182
2037,2.005,3.391,0.18,0.327
2038,2.346,3.961,0.28,0.498
2039,2.696,4.56,0.396,0.692
2040,3.053,5.194,0.524,0.907
2041,3.416,5.83,0.666,1.151
2042,3.784,6.388,0.819,1.43
2043,4.156,6.879,0.985,1.733
2044,4.531,7.31,1.159,2.049
2045,4.911,7.69,1.343,2.368
2046,5.294,8.024,1.536,2.688
2047,5.682,8.318,1.737,3.002
2048,6.076,8.575,1.944,3.307
2049,6.48,8.802,2.157,3.6
2050,6.901,9.001,2.377,3.881
