variable,series,year,p25,p50,p75
pubinv_ppp_pc_ma5,Advanced economies,1990,1065.2483,1591.8508,1918.0466
pubinv_ppp_pc_ma5,Advanced economies,1991,1052.7246,1680.7633,1874.1676
pubinv_ppp_pc_ma5,Advanced economies,1992,1065.2585,1665.5407,1943.0407
pubinv_ppp_pc_ma5,Advanced economies,1993,1096.9765,1634.6295,1951.5404
pubinv_ppp_pc_ma5,Advanced economies,1994,1142.029,1544.3732,1991.3092
pubinv_ppp_pc_ma5,Advanced economies,1995,1029.9094,1421.6617,1918.0867
pubinv_ppp_pc_ma5,Advanced economies,1996,1070.6897,1375.5753,1887.2558
pubinv_ppp_pc_ma5,Advanced economies,1997,1038.7123,1383.9094,1854.3583
pubinv_ppp_pc_ma5,Advanced economies,1998,1106.1484,1388.0641,1886.652
pubinv_ppp_pc_ma5,Advanced economies,1999,1135.9833,1374.2361,1947.9933
pubinv_ppp_pc_ma5,Advanced economies,2000,1213.9043,1408.9968,1956.0278
pubinv_ppp_pc_ma5,Advanced economies,2001,1211.2741,1526.0635,1955.843
pubinv_ppp_pc_ma5,Advanced economies,2002,1192.7956,1524.6593,2003.3035
pubinv_ppp_pc_ma5,Advanced economies,2003,1226.4801,1598.9786,2070.3272
pubinv_ppp_pc_ma5,Advanced economies,2004,1276.4181,1660.8073,2153.586
pubinv_ppp_pc_ma5,Advanced economies,2005,1339.4674,1732.9324,2181.1918
pubinv_ppp_pc_ma5,Advanced economies,2006,1464.7829,1793.2749,2183.4446
pubinv_ppp_pc_ma5,Advanced economies,2007,1492.6253,1855.1273,2177.8551
pubinv_ppp_pc_ma5,Advanced economies,2008,1523.1474,1904.2482,2226.3869
pubinv_ppp_pc_ma5,Advanced economies,2009,1559.572,2013.5083,2206.7594
pubinv_ppp_pc_ma5,Advanced economies,2010,1618.9378,2060.8873,2240.1336
pubinv_ppp_pc_ma5,Advanced economies,2011,1558.7414,2012.12,2267.1464
pubinv_ppp_pc_ma5,Advanced economies,2012,1499.0901,1975.8011,2203.3853
pubinv_ppp_pc_ma5,Advanced economies,2013,1359.6152,1865.8837,2222.7325
pubinv_ppp_pc_ma5,Advanced economies,2014,1318.0996,1799.6568,2180.0856
pubinv_ppp_pc_ma5,Advanced economies,2015,1317.3761,1807.5343,2201.9903
