sector,entity,year,eff_gap
INF,Global,1980,0.6054
INF,Global,1981,0.5998
INF,Global,1982,0.5864
INF,Global,1983,0.5813
INF,Global,1984,0.5683
INF,Global,1985,0.5645
INF,Global,1986,0.5513
INF,Global,1987,0.5507
INF,Global,1988,0.5424
INF,Global,1989,0.5369
INF,Global,1990,0.5311
INF,Global,1991,0.5262
INF,Global,1992,0.5138
INF,Global,1993,0.5044
INF,Global,1994,0.4957
INF,Global,1995,0.48
INF,Global,1996,0.4667
INF,Global,1997,0.4508
INF,Global,1998,0.439
INF,Global,1999,0.4392
INF,Global,2000,0.4334
INF,Global,2001,0.4201
INF,Global,2002,0.4134
INF,Global,2003,0.4031
INF,Global,2004,0.3915
INF,Global,2005,0.3872
INF,Global,2006,0.3791
INF,Global,2007,0.3765
INF,Global,2008,0.3702
INF,Global,2009,0.363
INF,Global,2010,0.359
INF,Global,2011,0.3562
INF,Global,2012,0.3548
INF,Global,2013,0.354
INF,Global,2014,0.3561
INF,Global,2015,0.3573
INF,Global,2016,0.3625
INF,Global,2017,0.3671
INF,Global,2018,0.3676
INF,Global,2019,0.3722
INF,Global,2020,0.3769
INF,Global,2021,0.3807
INF,Global,2022,0.3793
INF,Global,2023,0.3889
INF,Global,2024,
INF,Botswana,1980,0.7821
INF,Botswana,1981,0.7624
INF,Botswana,1982,0.7572
INF,Botswana,1983,0.7577
INF,Botswana,1984,0.7592
INF,Botswana,1985,0.7627
INF,Botswana,1986,0.7545
INF,Botswana,1987,0.7324
INF,Botswana,1988,0.7578
INF,Botswana,1989,0.7265
INF,Botswana,1990,0.7136
INF,Botswana,1991,0.693
INF,Botswana,1992,0.6928
INF,Botswana,1993,0.6445
INF,Botswana,1994,0.6163
INF,Botswana,1995,0.5845
INF,Botswana,1996,0.5707
INF,Botswana,1997,0.538
INF,Botswana,1998,0.5073
INF,Botswana,1999,0.491
INF,Botswana,2000,0.4679
INF,Botswana,2001,0.4644
INF,Botswana,2002,0.4601
INF,Botswana,2003,0.4599
INF,Botswana,2004,0.4595
INF,Botswana,2005,0.4492
INF,Botswana,2006,0.4348
INF,Botswana,2007,0.4144
INF,Botswana,2008,0.3962
INF,Botswana,2009,0.4005
INF,Botswana,2010,0.3932
INF,Botswana,2011,0.3796
INF,Botswana,2012,0.3696
INF,Botswana,2013,0.3696
INF,Botswana,2014,0.3742
INF,Botswana,2015,0.3643
INF,Botswana,2016,0.3604
INF,Botswana,2017,0.3684
INF,Botswana,2018,0.3672
INF,Botswana,2019,0.3498
INF,Botswana,2020,0.3483
INF,Botswana,2021,0.3406
INF,Botswana,2022,0.3333
INF,Botswana,2023,0.3479
INF,Botswana,2024,
INF,Eswatini,1980,0.647
INF,Eswatini,1981,0.6372
INF,Eswatini,1982,0.6397
INF,Eswatini,1983,0.6155
INF,Eswatini,1984,0.5963
INF,Eswatini,1985,0.5923
INF,Eswatini,1986,0.566
INF,Eswatini,1987,0.5747
INF,Eswatini,1988,0.5519
INF,Eswatini,1989,0.5531
INF,Eswatini,1990,0.5569
INF,Eswatini,1991,0.5776
INF,Eswatini,1992,0.6409
INF,Eswatini,1993,0.6753
INF,Eswatini,1994,0.6272
INF,Eswatini,1995,0.5949
INF,Eswatini,1996,0.5282
INF,Eswatini,1997,0.5354
INF,Eswatini,1998,0.4717
INF,Eswatini,1999,0.4459
INF,Eswatini,2000,0.4701
INF,Eswatini,2001,0.4419
INF,Eswatini,2002,0.4465
INF,Eswatini,2003,0.4205
INF,Eswatini,2004,0.3747
INF,Eswatini,2005,0.376
INF,Eswatini,2006,0.3775
INF,Eswatini,2007,0.3713
INF,Eswatini,2008,0.3676
INF,Eswatini,2009,0.3922
INF,Eswatini,2010,0.3619
INF,Eswatini,2011,0.3427
INF,Eswatini,2012,0.3302
INF,Eswatini,2013,0.3123
INF,Eswatini,2014,0.3087
INF,Eswatini,2015,0.3143
INF,Eswatini,2016,0.3245
INF,Eswatini,2017,0.3206
INF,Eswatini,2018,0.3084
INF,Eswatini,2019,0.3976
INF,Eswatini,2020,0.4032
INF,Eswatini,2021,0.4045
INF,Eswatini,2022,0.4153
INF,Eswatini,2023,0.4
INF,Eswatini,2024,
INF,Lesotho,1980,0.8439
INF,Lesotho,1981,0.8203
INF,Lesotho,1982,0.7945
INF,Lesotho,1983,0.7894
INF,Lesotho,1984,0.8085
INF,Lesotho,1985,0.778
INF,Lesotho,1986,0.7586
INF,Lesotho,1987,0.75
INF,Lesotho,1988,0.7526
INF,Lesotho,1989,0.7758
INF,Lesotho,1990,0.791
INF,Lesotho,1991,0.8109
INF,Lesotho,1992,0.8723
INF,Lesotho,1993,0.8624
INF,Lesotho,1994,0.8558
INF,Lesotho,1995,0.8545
INF,Lesotho,1996,0.8852
INF,Lesotho,1997,0.886
INF,Lesotho,1998,0.8778
INF,Lesotho,1999,0.8792
INF,Lesotho,2000,0.8788
INF,Lesotho,2001,0.8828
INF,Lesotho,2002,0.8324
INF,Lesotho,2003,0.7801
INF,Lesotho,2004,0.7336
INF,Lesotho,2005,0.6633
INF,Lesotho,2006,0.6138
INF,Lesotho,2007,0.5485
INF,Lesotho,2008,0.489
INF,Lesotho,2009,0.4027
INF,Lesotho,2010,0.372
INF,Lesotho,2011,0.3735
INF,Lesotho,2012,0.3762
INF,Lesotho,2013,0.362
INF,Lesotho,2014,0.3478
INF,Lesotho,2015,0.321
INF,Lesotho,2016,0.3361
INF,Lesotho,2017,0.4072
