sector,entity,year,eff_gap
INF,AEs,2000,0.3541
INF,AEs,2023,0.3617
INF,EMs,2000,0.3891
INF,EMs,2023,0.3697
INF,SSA,2000,0.5504
INF,SSA,2023,0.4423
INF,Botswana,2000,0.4679
INF,Botswana,2023,0.3479
INF,Eswatini,2000,0.4701
INF,Eswatini,2023,0.4
INF,Lesotho,2000,0.8788
INF,Lesotho,2023,0.419
INF,Namibia,2000,0.5091
INF,Namibia,2023,0.44
INF,South Africa,2000,0.4207
INF,South Africa,2023,0.3307
INF,SACU,2000,0.5493
INF,SACU,2023,0.3875
HLT,AEs,2000,0.2528
HLT,AEs,2023,0.2855
HLT,EMs,2000,0.2668
HLT,EMs,2023,0.3069
HLT,SSA,2000,0.3553
HLT,SSA,2023,0.3327
HLT,Botswana,2000,0.4023
HLT,Botswana,2023,0.407
HLT,Eswatini,2000,0.4273
HLT,Eswatini,2023,0.3913
HLT,Lesotho,2000,0.4877
HLT,Lesotho,2023,0.4633
HLT,Namibia,2000,0.4199
HLT,Namibia,2023,0.3731
HLT,South Africa,2000,0.3644
HLT,South Africa,2023,0.4178
HLT,SACU,2000,0.4203
HLT,SACU,2023,0.4105
EDU,AEs,2000,0.2613
EDU,AEs,2023,0.3259
EDU,EMs,2000,0.3074
EDU,EMs,2023,0.3466
EDU,SSA,2000,0.4081
EDU,SSA,2023,0.3724
EDU,Botswana,2000,0.369
EDU,Botswana,2023,0.3443
EDU,Eswatini,2000,0.3307
EDU,Eswatini,2023,0.314
EDU,Lesotho,2000,0.4366
EDU,Lesotho,2023,0.3275
EDU,Namibia,2000,0.3665
EDU,Namibia,2023,0.3727
EDU,South Africa,2000,0.3691
EDU,South Africa,2023,0.4064
EDU,SACU,2000,0.3744
EDU,SACU,2023,0.353
RND,AEs,2000,0.3443
RND,AEs,2023,0.404
RND,EMs,2000,0.6071
RND,EMs,2023,0.5148
RND,SSA,2000,0.6999
RND,SSA,2023,0.8312
RND,Botswana,2000,
RND,Botswana,2023,
RND,Eswatini,2000,
RND,Eswatini,2023,
RND,Lesotho,2000,
RND,Lesotho,2023,
RND,Namibia,2000,
RND,Namibia,2023,
RND,South Africa,2000,
RND,South Africa,2023,0.8312
RND,SACU,2000,
RND,SACU,2023,0.8312
