country,group,General public services,Defence,Public order and safety,Economic affairs,Environmental protection,Housing and community amenities,Health,"Recreation, culture and religion",Education,Social protection,infrastructure_and_other_public_capital,human_capital_related
Austria,AE,16.822715107999382,2.9579141287719986,2.4040639285316874,45.56790579994403,0.5488484074628996,0.9731577947601443,14.91720065956225,4.97453581677028,9.769119493391452,1.0645950627247296,68.30144737271,31.698608827208854
Belgium,AE,28.005889559260815,4.473534368223986,2.0245359959049156,34.97558478607211,4.5281738340225575,3.106972570988169,1.222773729344844,6.6349566047611095,12.813242305900488,2.2137610932494374,74.00771854348439,25.991706304244047
Chile,EMDE,5.9180593401915385,0.045249107592837075,3.468683298800642,53.570461057198635,0.5449798225114891,9.333896244965327,9.464293347815902,4.528180248324207,3.3697608068748504,9.756436564076736,63.54743262629514,36.45256721205702
Colombia,EMDE,7.804925834128946,4.73377051574011,5.720479867720022,43.947239754147354,9.661870080791301,7.221825265152283,4.210717434960419,7.600505296717956,5.907624589359858,3.191041361281751,71.86828605252774,28.131713947472267
Costa Rica,EMDE,0.9804041653587592,0.0,6.875492127771729,52.91893092982871,0.4453069983745367,3.4360996489950204,21.30736889477491,0.5426685149994216,10.988827226482059,2.504901620502061,61.22013422133374,38.779865905753475
Czechia,AE,7.73143140316195,9.002818792661547,4.537776617342235,37.932210434328525,4.928624333267615,6.23518002440467,10.691430124314618,6.265552648546111,10.02909377680917,2.6458818451635593,64.13286158076187,35.867138419238124
Denmark,AE,27.685426441218492,9.25187277176268,2.0231098256297093,22.504333499316104,1.5675720053967273,0.8394883017031878,15.278082389630953,4.037928265207134,11.429274476974019,5.382923652033437,63.032314543323714,36.967697085548735
Estonia,AE,10.144253140995813,20.75383899488134,2.7648518690863964,27.675663099115866,1.0469986040018613,1.171087327439119,13.502404219016595,7.546145494028229,12.769505196215295,2.6291298278268957,62.385605708081286,37.61827206452613
Finland,AE,28.058627347726873,2.632964718272775,1.6412146743900298,29.15569598034053,0.3773916096190978,0.2896261190100053,8.030542390731963,8.881867649640162,17.254695453747587,3.677374056520976,61.865894330349306,38.134105669650694
France,AE,17.10307446385537,7.918630975081345,3.0647268360367086,28.458061846301153,5.686419292280978,10.079437849416996,7.861020277342767,8.314603094749312,8.82336235506041,2.69066300987496,62.23091341355556,37.76908658644445
Germany,AE,26.72395310744638,6.291217508382858,4.358228922791942,34.39416158549658,2.8428825027657,2.847170410009691,2.0281801264075057,4.486008558662859,14.460538389633557,1.567658888402926,74.61044362688348,25.389556373116534
Greece,AE,13.815864345055196,9.559576647319904,0.30727210652099696,42.75634459997724,7.715944008193923,3.277569136223967,5.291908501194947,4.597701149425287,11.539774667121884,1.1380448389666553,74.15500170706727,25.844998292932743
Hungary,EMDE,18.463087307295922,13.013031258198671,2.047216813975996,30.54606758780502,2.5050745459269943,9.800043433343,1.500559235673587,10.137141408169233,10.56959188976467,1.418186519846904,66.5744775132026,33.4255224867974
Iceland,AE,7.8962865421145505,0.0031807114388152664,2.019649526494304,38.65905408822521,2.2338931612659323,5.024376745273406,12.762814802394896,6.2629741787573465,22.894505343708815,2.2432592204848727,50.81206402953881,49.187930290619335
Ireland,AE,6.374226643789988,2.8451690758980663,2.3442496563092314,27.040666539697224,6.139859895591194,10.846656115450159,17.236268794874203,2.587265851567172,7.9035985858154065,16.68203884100736,44.7441718112857,55.255828188714304
Israel,AE,7.408294399751698,51.24059632344801,2.257954307153935,27.07308654643384,2.7712003093058315,-34.45510767675802,4.1728209541322325,8.210359069687795,29.322617554109286,1.9981798850203736,90.7511318860933,9.248869786191673
Italy,AE,16.1194073510699,10.767723157479047,4.390750464378172,38.263298767021105,5.652981527255708,4.753477351508681,6.454490939140864,4.332246127744219,7.79131503122669,1.4743092831756155,75.19416126720392,24.80583873279607
Japan,AE,6.837672379637795,8.239288711663237,3.2497049789331522,46.65848702120318,11.740347379318278,6.248056269144418,0.6752467739393088,2.545488627310643,11.973808093588776,1.8318997652612161,76.72550047075565,23.274499529244363
Korea,AE,6.007903902954266,18.038603919593093,3.6721249989658187,35.944372996561,6.230551646094885,11.974348626653196,0.5472427807250668,4.945409016406252,10.086623025747897,2.5530029407519828,69.89355746416906,30.106626390284397
Latvia,AE,5.441947565543072,22.534332084893883,7.175197669579692,30.93549729504786,1.0915522263836872,5.241781106949646,8.733250104036621,3.7195172700790673,12.384103204327921,2.743237619642114,67.17852684144819,32.82188930503537
Lithuania,AE,6.73407132524058,26.028681049122582,3.119064092081263,29.204037989810676,1.7777847663375055,4.560035222341027,6.134977042581294,7.189760362286936,13.590477388514998,1.6611107616831247,66.8636392225926,33.13636077740738
Luxembourg,AE,20.284309338323535,0.8342147549986779,2.384923621422615,33.10950308158574,6.296147509305778,6.260551634359173,4.67424689298863,7.8275329007587,10.650031527774953,7.678538738482192,62.90909830563634,37.09090169436365
Netherlands,AE,13.845007914093294,6.505074330405636,4.959498463734832,33.22057043543031,10.909034480618232,1.7566183544893081,4.062567890506191,6.6509419322801895,15.772322398435804,2.3183638000062072,69.4391856242823,30.5608143757177
Norway,AE,9.000788468457435,12.66410478209947,2.191636110324344,30.18111809420284,4.5252730933225145,7.150184103557295,17.211577472767218,4.826881415875008,9.972212228150621,2.276224231243254,58.562920548406595,41.4370794515934
Poland,EMDE,2.9399606986615803,12.10778497729258,3.620331531792701,48.58093037989246,4.402839948176607,0.7963125329260086,7.51003652353804,8.116194131306887,10.87519679500963,1.050418335566599,71.65184753581592,28.34815831834716
Portugal,AE,11.640273343336013,5.612213697032618,3.5779248945807764,33.11095151071258,5.066806988601213,6.0666007722447,11.325544517844827,10.534242581544348,9.749340463204602,3.3163856672521317,59.00817043426321,40.99211400209061
Slovak Republic,AE,16.053702481434044,-24.156937481149928,6.650741545334143,53.23368840671565,8.964765122672972,7.433374566721596,5.405872042451449,6.524200210683673,18.091695479043093,1.7988976260933038,60.745960075006884,39.25403992499312
Slovenia,AE,8.586423496029246,5.993218223669106,3.322893793379526,41.643756586034954,8.714759193957624,6.37145531504059,8.333872971206885,6.210741344699088,8.015388509834164,2.8077849140798388,68.26105129307045,31.739243054860566
Spain,AE,15.188862261782496,6.641561109209175,3.0400547757617256,36.86408764121876,5.577998402373616,5.803948419491042,11.534862490014836,6.260413100536345,7.40613944996006,1.6820723496519456,67.31256419034577,32.687435809654225
Sweden,AE,20.315229962841748,8.65805792750449,3.4285257277850234,30.352572778502353,2.7924059354775204,5.339038314836233,8.990882693112189,4.671543174939095,12.572901542928857,2.8788419420724956,65.54679233211114,34.45320766788887
Switzerland,AE,34.72688860661911,9.877010050154604,3.3345617454017256,24.358603487818336,3.1052154170587203,2.1389757197558668,1.1987788712098424,3.5273249878248722,16.6794636942685,1.0531389518695842,75.4022793070525,24.597682224928665
United Kingdom,AE,3.7917058611759513,22.73862197911949,4.458302848715,32.674865577349635,5.446585142087355,9.409004865925745,12.981221475107132,1.7710111602736067,5.777560998269634,0.9511200919764484,69.11008140844743,30.88991859155257
United States,AE,6.027140179512548,23.15523171531434,3.1011413689332237,27.622854554276465,0.0,4.129899662221183,15.69981681743618,1.5516645677985186,17.96829209965448,0.7439591406342532,59.90636781803658,40.09363228774462
Bulgaria,EMDE,5.105770610388264,11.42103820129587,4.278556502147233,38.33326940643161,3.845558287838688,15.25125403272205,7.020452346756562,4.552447761066812,9.257893906913909,0.9339010042205961,62.98419300810166,37.015949051679925
