category,region,model,mult_1y,mult_5y,mult_10y,mult_20y,mult_25y,mult_longterm,channel_effect_25y
Government consumption,Advanced economies,Model_HumanCapital_exp_gc_perm,0.2682,0.2794,0.3235,0.3992,0.4298,0.6551,
Government consumption,Advanced economies - No human capital,Model_NoHumanCapital_exp_gc_perm,0.2488,0.2671,0.2922,0.3314,0.3466,0.4483,0.0832
Government consumption,Advanced economies - No endog. tech.,Model_Simple1_exp_gc_perm,0.2651,0.2724,0.3044,0.3487,0.3634,0.4302,0.0664
Government consumption,Advanced economies - No endog. tech. + no human capital,Model_Simple2_exp_gc_perm,0.2477,0.2594,0.2733,0.2889,0.2934,0.3054,0.1364
Government consumption,Emerging markets,EM_Model_HumanCapital_exp_gc_perm,0.2355,0.2450,0.2772,0.3200,0.3336,0.3941,
Government consumption,Emerging markets - No human capital,EM_Model_NoHumanCapital_exp_gc_perm,0.2166,0.2319,0.2467,0.2613,0.2650,0.2745,0.0686
Government consumption,Emerging markets - No endog. tech.,EM_Model_Simple1_exp_gc_perm,0.2353,0.2431,0.2736,0.3143,0.3272,0.3844,0.0064
Government consumption,Emerging markets - No endog. tech. + no human capital,EM_Model_Simple2_exp_gc_perm,0.2162,0.2299,0.2435,0.2565,0.2598,0.2678,0.0738
Infrastructure investment,Advanced economies,Model_HumanCapital_exp_igi_perm,0.2279,0.5472,0.9504,1.5665,1.8045,3.5076,
Infrastructure investment,Advanced economies - No human capital,Model_NoHumanCapital_exp_igi_perm,0.2107,0.5285,0.8959,1.4912,1.7296,3.4969,0.0748
Infrastructure investment,Advanced economies - No endog. tech.,Model_Simple1_exp_igi_perm,0.2268,0.5547,0.9437,1.4578,1.6268,2.4577,0.1777
Infrastructure investment,Advanced economies - No endog. tech. + no human capital,Model_Simple2_exp_igi_perm,0.2126,0.5347,0.8910,1.3978,1.5708,2.4219,0.2337
Infrastructure investment,Emerging markets,EM_Model_HumanCapital_exp_igi_perm,0.2692,1.3280,2.5228,3.9893,4.4325,6.3682,
Infrastructure investment,Emerging markets - No human capital,EM_Model_NoHumanCapital_exp_igi_perm,0.2670,1.3179,2.4500,3.9348,4.3972,6.4029,0.0353
Infrastructure investment,Emerging markets - No endog. tech.,EM_Model_Simple1_exp_igi_perm,0.2714,1.3211,2.4953,3.9210,4.3486,6.2059,0.0839
Infrastructure investment,Emerging markets - No endog. tech. + no human capital,EM_Model_Simple2_exp_igi_perm,0.2653,1.3074,2.4217,3.8684,4.3154,6.2408,0.1172
Human capital investment,Advanced economies,Model_HumanCapital_exp_ige_perm,0.9161,0.4387,0.4924,1.3464,1.8947,8.0849,
Human capital investment,Advanced economies - No human capital,Model_NoHumanCapital_exp_ige_perm,0.2488,0.2671,0.2922,0.3314,0.3466,0.4483,1.5481
Human capital investment,Advanced economies - No endog. tech.,Model_Simple1_exp_ige_perm,0.8946,0.4413,0.5411,1.3320,1.7548,4.7813,0.1399
Human capital investment,Advanced economies - No endog. tech. + no human capital,Model_Simple2_exp_ige_perm,0.2477,0.2594,0.2733,0.2889,0.2934,0.3054,1.6013
Human capital investment,Emerging markets,EM_Model_HumanCapital_exp_ige_perm,1.5718,0.6623,1.0269,3.0509,4.0625,10.4619,
Human capital investment,Emerging markets - No human capital,EM_Model_NoHumanCapital_exp_ige_perm,0.2166,0.2319,0.2467,0.2613,0.2650,0.2745,3.7975
Human capital investment,Emerging markets - No endog. tech.,EM_Model_Simple1_exp_ige_perm,1.5728,0.6630,1.0238,3.0125,3.9996,10.1904,0.0629
Human capital investment,Emerging markets - No endog. tech. + no human capital,EM_Model_Simple2_exp_ige_perm,0.2162,0.2299,0.2435,0.2565,0.2598,0.2678,3.8027
Research and development,Advanced economies,Model_HumanCapital_exp_grd_perm,0.1216,0.2472,0.8987,2.0309,2.4772,5.5941,
Research and development,Advanced economies - No human capital,Model_NoHumanCapital_exp_grd_perm,0.0674,0.2260,0.8084,1.9180,2.3782,5.7213,0.0990
Research and development,Advanced economies - No endog. tech.,Model_Simple1_exp_grd_perm,0.2651,0.2724,0.3044,0.3487,0.3634,0.4302,2.1138
Research and development,Advanced economies - No endog. tech. + no human capital,Model_Simple2_exp_grd_perm,0.2477,0.2594,0.2733,0.2889,0.2934,0.3054,2.1838
Research and development,Emerging markets,,,,,,,,
