year,duration,variable,pct_dev
2025.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.0
2025.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.544
2025.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.57
2025.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.633
2026.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.729
2026.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.137
2026.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.069
2026.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.035
2027.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.018
2027.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.009
2027.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.005
2027.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.002
2028.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.001
2028.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.001
2028.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2028.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.25,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.5,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.75,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2037.0,1-year shock (4 quarters),Output (Y<sup>d</sup><sub>t</sub>),-0.0
2025.0,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.0
2025.25,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.24
2025.5,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.332
2025.75,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.374
2026.0,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.392
2026.25,5-year shock (20 quarters),Output (Y<sup>d</sup><sub>t</sub>),0.397
