horizon_quarter,instrument,treatment,variable,response
1,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.14
2,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.009
3,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.028
4,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.044
5,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.059
6,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.073
7,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.087
8,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.101
9,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.114
10,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.127
11,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.14
12,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.153
13,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.165
14,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.177
15,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.19
16,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.201
17,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.213
18,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.225
19,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.236
20,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.247
21,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.259
22,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.27
23,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.28
24,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.291
25,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.302
26,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.312
27,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.322
28,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.332
29,Infrastructure,"Spending increase (AE, benchmark)",Output (Y<sup>d</sup><sub>t</sub>),0.342
