horizon_quarter,scenario,variable,pct_dev
1,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.846
2,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),-0.479
3,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),-0.206
4,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.041
5,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.275
6,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.498
7,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.714
8,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),0.921
9,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),1.121
10,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),1.315
11,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),1.502
12,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),1.683
13,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),1.859
14,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.029
15,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.193
16,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.353
17,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.507
18,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.657
19,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.802
20,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),2.943
21,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.079
22,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.211
23,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.339
24,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.464
25,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.584
26,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.701
27,Infrastructure efficiency,Output (Y<sup>d</sup><sub>t</sub>),3.814
