horizon_quarter,experiment,variable,pct_dev
1,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.283
2,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.16
3,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.101
4,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.051
5,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.004
6,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.041
7,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.087
8,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.132
9,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.176
10,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.221
11,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.265
12,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.309
13,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.353
14,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.397
15,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.44
16,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.484
17,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.528
18,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.571
19,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.615
20,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.658
21,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.702
22,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.745
23,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.788
24,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.832
25,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.875
26,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.919
