horizon_quarter,experiment,variable,pct_dev
1,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.74
2,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.241
3,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.128
4,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.028
5,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.067
6,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.162
7,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.257
8,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.353
9,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.449
10,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.545
11,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.642
12,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.739
13,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.837
14,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.934
15,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.032
16,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.13
17,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.228
18,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.325
19,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.423
20,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.521
21,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.619
22,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.717
23,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.814
24,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.912
25,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.009
26,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.106
27,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.203
28,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.299
29,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.395
30,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.491
31,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.587
32,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.682
33,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.777
34,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.872
35,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.967
36,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.061
37,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.154
38,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.248
39,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.341
40,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.433
41,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.526
42,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.617
43,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.709
44,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.8
45,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.891
46,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.981
47,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.071
48,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.161
49,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.25
50,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.339
51,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.427
52,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.515
53,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.603
54,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.69
55,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.777
56,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.863
57,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.949
58,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.035
59,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.121
60,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.206
61,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.29
62,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.375
63,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.459
64,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.542
65,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.626
66,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.709
67,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.791
68,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.874
69,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),5.956
70,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.038
71,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.119
72,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.2
73,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.281
74,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.362
75,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.442
76,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.522
77,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.602
78,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.682
79,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.761
80,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.841
81,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.92
82,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),6.999
83,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.078
84,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.156
85,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.235
86,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.313
87,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.392
88,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.471
89,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.549
90,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.628
91,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.706
92,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.785
93,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.864
94,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),7.944
95,EMDE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),8.023
