group,year,p25,median,p75,economies,gdp_weighted_average
AE,2013,0.5117,0.6449,0.804,28,0.6878
AE,2014,0.5166,0.6737,0.802,29,0.6798
AE,2015,0.5263,0.6336,0.7861,29,0.6624
AE,2016,0.5147,0.6355,0.7877,28,0.6767
AE,2017,0.504,0.6491,0.7886,29,0.6897
AE,2018,0.5171,0.6651,0.8388,29,0.7195
AE,2019,0.5404,0.6909,0.8194,29,0.7423
AE,2020,0.6535,0.7427,0.9673,29,0.8984
AE,2021,0.6,0.7041,0.8887,29,0.8088
AE,2022,0.5459,0.6896,0.8049,29,0.8186
AE,2023,0.5688,0.683,0.8654,29,0.8057
EMDE,2013,0.2051,0.2259,0.3374,6,0.271
EMDE,2014,0.2101,0.229,0.2691,6,0.2639
EMDE,2015,0.2113,0.2474,0.2706,6,0.2664
EMDE,2016,0.2026,0.2523,0.3167,6,0.2509
EMDE,2017,0.194,0.2126,0.3138,6,0.2482
EMDE,2018,0.179,0.2112,0.2661,6,0.2125
EMDE,2019,0.1952,0.2162,0.2579,6,0.2686
EMDE,2020,0.1865,0.221,0.382,6,0.2956
EMDE,2021,0.1879,0.2335,0.4482,5,0.333
EMDE,2022,0.1773,0.2173,0.3061,5,0.2948
EMDE,2023,0.1857,0.2258,0.3111,5,0.3407
