year,Joint human capital + R&D,Human capital investment,R&D spending
2026,0.066,0.422,-0.293
2027,-0.055,0.151,-0.259
2028,-0.019,-0.01,-0.057
2029,0.094,-0.082,0.198
2030,0.249,-0.085,0.463
2031,0.429,-0.03,0.722
2032,0.628,0.071,0.969
2033,0.839,0.209,1.203
2034,1.06,0.377,1.424
2035,1.289,0.57,1.634
2036,1.522,0.782,1.832
2037,1.759,1.009,2.019
2038,1.998,1.249,2.196
2039,2.236,1.497,2.363
2040,2.475,1.751,2.521
2041,2.711,2.01,2.67
2042,2.944,2.271,2.811
2043,3.174,2.533,2.945
2044,3.4,2.794,3.071
2045,3.622,3.053,3.19
2046,3.838,3.31,3.303
2047,4.049,3.563,3.409
2048,4.254,3.811,3.51
2049,4.453,4.055,3.605
2050,4.645,4.292,3.695
