transaction,variable,group,year,p25,median,p75,economies,gdp_weighted_average,weighted_economies
P51G (CHL and CRI: P5L),infrastructure_share,AE,2013,60.9452,66.3168,72.5221,29,67.9332,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2014,61.5655,66.6894,72.2562,29,67.7679,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2015,62.8775,66.0985,72.0632,29,67.445,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2016,64.0836,67.0257,70.7594,29,67.1243,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2017,61.3297,66.4679,72.0564,29,67.1444,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2018,61.7041,65.1921,72.0292,29,67.1019,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2019,61.3754,66.2239,70.4746,29,66.7662,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2020,61.1781,66.1017,68.5581,29,66.6817,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2021,60.5985,65.7937,70.8,29,65.9355,29
P51G (CHL and CRI: P5L),infrastructure_share,AE,2022,59.76,65.1105,70.6808,29,65.0243,29
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2013,61.5873,71.0578,76.0276,7,71.5057,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2014,62.5318,70.4326,73.9803,7,71.0744,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2015,60.9231,64.6602,71.8824,7,68.352,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2016,60.2456,71.5527,73.8983,7,69.9182,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2017,61.7234,72.7163,73.8012,7,70.2447,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2018,66.5835,67.8157,70.4645,7,68.1031,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2019,61.4072,64.9103,70.7437,7,67.6136,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2020,62.2959,70.3831,70.9501,7,67.7577,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2021,62.3026,67.6484,70.084,7,68.1284,7
P51G (CHL and CRI: P5L),infrastructure_share,EMDE,2022,62.3057,65.7583,70.7058,7,68.7654,7
P51G (CHL and CRI: P5L),human_capital_share,AE,2013,27.4779,33.6832,39.0548,29,32.0668,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2014,27.7438,33.3106,38.4345,29,32.2321,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2015,27.9368,33.9015,37.1225,29,32.555,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2016,29.2406,32.9743,35.9164,29,32.8757,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2017,27.9436,33.5321,38.6703,29,32.8556,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2018,27.9708,34.8079,38.2959,29,32.8981,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2019,29.5254,33.7761,38.6246,29,33.2338,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2020,31.4419,33.8983,38.8219,29,33.3183,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2021,29.2,34.2063,39.4015,29,34.0645,29
P51G (CHL and CRI: P5L),human_capital_share,AE,2022,29.3192,34.8895,40.24,29,34.9757,29
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2013,23.9724,28.9422,38.4127,7,28.4943,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2014,26.0197,29.5674,37.4682,7,28.9256,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2015,28.1176,35.3398,39.0769,7,31.648,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2016,26.1017,28.4473,39.7544,7,30.0818,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2017,26.1988,27.2837,38.2766,7,29.7553,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2018,29.5355,32.1843,33.4165,7,31.8969,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2019,29.2563,35.0897,38.5928,7,32.3864,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2020,29.0499,29.6169,37.7041,7,32.2423,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2021,29.916,32.3516,37.6974,7,31.8716,7
P51G (CHL and CRI: P5L),human_capital_share,EMDE,2022,29.2942,34.2417,37.6943,7,31.2346,7
