year,duration,variable,pct_dev
2025.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),0.0
2025.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),0.847
2025.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.077
2025.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.039
2026.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.02
2026.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.01
2026.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.005
2026.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.003
2027.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.001
2027.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.001
2027.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2027.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2028.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2028.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2028.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2028.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2029.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2030.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2031.75,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.0,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.25,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.5,ρ = 0,Output (Y<sup>d</sup><sub>t</sub>),-0.0
