horizon_quarter,experiment,variable,pct_dev
1,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.145
2,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.165
3,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.101
4,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),-0.045
5,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.008
6,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.059
7,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.108
8,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.157
9,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.204
10,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.249
11,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.294
12,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.338
13,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.381
14,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.423
15,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.464
16,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.504
17,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.543
18,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.582
19,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.62
20,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.657
21,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.694
22,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.729
23,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.765
24,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.799
25,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.833
26,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.867
27,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.9
28,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.932
29,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.964
30,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.996
31,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.027
32,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.057
33,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.087
34,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.117
35,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.146
36,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.175
37,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.203
38,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.231
39,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.258
40,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.285
41,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.312
42,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.338
43,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.364
44,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.39
45,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.415
46,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.44
47,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.465
48,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.489
49,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.513
50,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.537
51,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.56
52,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.583
53,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.606
54,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.628
55,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.65
56,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.672
57,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.693
58,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.715
59,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.736
60,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.756
61,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.777
62,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.797
63,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.817
64,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.836
65,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.856
66,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.875
67,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.894
68,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.912
69,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.931
70,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.949
71,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.967
72,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.984
73,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.002
74,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.019
75,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.036
76,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.053
77,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.069
78,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.085
79,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.102
80,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.117
81,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.133
82,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.149
83,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.164
84,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.179
85,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.194
86,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.209
87,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.223
88,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.237
89,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.251
90,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.265
91,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.279
92,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.293
93,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.306
94,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.319
95,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.332
96,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.345
97,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.358
98,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.37
99,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.383
100,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.395
1,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.069
2,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.579
3,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.504
4,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.422
5,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.343
6,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.272
7,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.208
8,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.151
9,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.101
10,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.058
11,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.021
12,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.01
13,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.036
14,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.056
15,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.072
16,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.082
17,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.089
18,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.091
19,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.09
20,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.085
21,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.076
22,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.063
23,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.048
24,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.03
25,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.008
26,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.016
27,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.042
28,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.071
29,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.102
30,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.136
31,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.172
32,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.209
33,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.249
34,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.29
35,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.333
36,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.377
