panel,param,param_value,quarter,pct_dev
Infrastructure (α<sub>G</sub>),alphaG,0.02,1,0.434
Infrastructure (α<sub>G</sub>),alphaG,0.02,2,0.134
Infrastructure (α<sub>G</sub>),alphaG,0.02,3,0.133
Infrastructure (α<sub>G</sub>),alphaG,0.02,4,0.124
Infrastructure (α<sub>G</sub>),alphaG,0.02,5,0.114
Infrastructure (α<sub>G</sub>),alphaG,0.02,6,0.104
Infrastructure (α<sub>G</sub>),alphaG,0.02,7,0.095
Infrastructure (α<sub>G</sub>),alphaG,0.02,8,0.087
Infrastructure (α<sub>G</sub>),alphaG,0.02,9,0.079
Infrastructure (α<sub>G</sub>),alphaG,0.02,10,0.071
Infrastructure (α<sub>G</sub>),alphaG,0.02,11,0.065
Infrastructure (α<sub>G</sub>),alphaG,0.02,12,0.059
Infrastructure (α<sub>G</sub>),alphaG,0.02,13,0.053
Infrastructure (α<sub>G</sub>),alphaG,0.02,14,0.048
Infrastructure (α<sub>G</sub>),alphaG,0.02,15,0.044
Infrastructure (α<sub>G</sub>),alphaG,0.02,16,0.039
Infrastructure (α<sub>G</sub>),alphaG,0.02,17,0.036
Infrastructure (α<sub>G</sub>),alphaG,0.02,18,0.032
Infrastructure (α<sub>G</sub>),alphaG,0.02,19,0.029
Infrastructure (α<sub>G</sub>),alphaG,0.02,20,0.026
Infrastructure (α<sub>G</sub>),alphaG,0.02,21,0.023
Infrastructure (α<sub>G</sub>),alphaG,0.02,22,0.021
Infrastructure (α<sub>G</sub>),alphaG,0.02,23,0.019
Infrastructure (α<sub>G</sub>),alphaG,0.02,24,0.017
Infrastructure (α<sub>G</sub>),alphaG,0.02,25,0.015
Infrastructure (α<sub>G</sub>),alphaG,0.02,26,0.013
Infrastructure (α<sub>G</sub>),alphaG,0.02,27,0.012
Infrastructure (α<sub>G</sub>),alphaG,0.02,28,0.011
Infrastructure (α<sub>G</sub>),alphaG,0.02,29,0.009
Infrastructure (α<sub>G</sub>),alphaG,0.02,30,0.008
Infrastructure (α<sub>G</sub>),alphaG,0.02,31,0.007
Infrastructure (α<sub>G</sub>),alphaG,0.02,32,0.006
Infrastructure (α<sub>G</sub>),alphaG,0.02,33,0.005
Infrastructure (α<sub>G</sub>),alphaG,0.02,34,0.005
Infrastructure (α<sub>G</sub>),alphaG,0.02,35,0.004
Infrastructure (α<sub>G</sub>),alphaG,0.02,36,0.003
Infrastructure (α<sub>G</sub>),alphaG,0.02,37,0.003
Infrastructure (α<sub>G</sub>),alphaG,0.02,38,0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,39,0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,40,0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,41,0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,42,0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,43,0.0
Infrastructure (α<sub>G</sub>),alphaG,0.02,44,0.0
Infrastructure (α<sub>G</sub>),alphaG,0.02,45,-0.0
Infrastructure (α<sub>G</sub>),alphaG,0.02,46,-0.0
Infrastructure (α<sub>G</sub>),alphaG,0.02,47,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,48,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,49,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,50,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,51,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,52,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,53,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,54,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,55,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,56,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,57,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,58,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,59,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,60,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,61,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,62,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,63,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,64,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,65,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,66,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,67,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,68,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,69,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,70,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,71,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,72,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,73,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,74,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,75,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,76,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,77,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,78,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,79,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,80,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,81,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,82,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,83,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,84,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,85,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,86,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,87,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,88,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,89,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,90,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,91,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,92,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,93,-0.002
Infrastructure (α<sub>G</sub>),alphaG,0.02,94,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,95,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,96,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,97,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,98,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,99,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.02,100,-0.001
Infrastructure (α<sub>G</sub>),alphaG,0.054,1,0.435
Infrastructure (α<sub>G</sub>),alphaG,0.054,2,0.097
Infrastructure (α<sub>G</sub>),alphaG,0.054,3,0.136
Infrastructure (α<sub>G</sub>),alphaG,0.054,4,0.162
Infrastructure (α<sub>G</sub>),alphaG,0.054,5,0.182
