panel,param,param_value,quarter,pct_dev
Infrastructure (α<sub>G</sub>),alphaG,0.02,1,0.456
Infrastructure (α<sub>G</sub>),alphaG,0.02,2,0.149
Infrastructure (α<sub>G</sub>),alphaG,0.02,3,0.189
Infrastructure (α<sub>G</sub>),alphaG,0.02,4,0.218
Infrastructure (α<sub>G</sub>),alphaG,0.02,5,0.244
Infrastructure (α<sub>G</sub>),alphaG,0.02,6,0.269
Infrastructure (α<sub>G</sub>),alphaG,0.02,7,0.293
Infrastructure (α<sub>G</sub>),alphaG,0.02,8,0.316
Infrastructure (α<sub>G</sub>),alphaG,0.02,9,0.339
Infrastructure (α<sub>G</sub>),alphaG,0.02,10,0.361
Infrastructure (α<sub>G</sub>),alphaG,0.02,11,0.383
Infrastructure (α<sub>G</sub>),alphaG,0.02,12,0.405
Infrastructure (α<sub>G</sub>),alphaG,0.02,13,0.426
Infrastructure (α<sub>G</sub>),alphaG,0.02,14,0.446
Infrastructure (α<sub>G</sub>),alphaG,0.02,15,0.467
Infrastructure (α<sub>G</sub>),alphaG,0.02,16,0.486
Infrastructure (α<sub>G</sub>),alphaG,0.02,17,0.506
Infrastructure (α<sub>G</sub>),alphaG,0.02,18,0.525
Infrastructure (α<sub>G</sub>),alphaG,0.02,19,0.544
Infrastructure (α<sub>G</sub>),alphaG,0.02,20,0.562
Infrastructure (α<sub>G</sub>),alphaG,0.02,21,0.581
Infrastructure (α<sub>G</sub>),alphaG,0.02,22,0.599
Infrastructure (α<sub>G</sub>),alphaG,0.02,23,0.616
Infrastructure (α<sub>G</sub>),alphaG,0.02,24,0.634
Infrastructure (α<sub>G</sub>),alphaG,0.02,25,0.651
Infrastructure (α<sub>G</sub>),alphaG,0.02,26,0.668
Infrastructure (α<sub>G</sub>),alphaG,0.02,27,0.685
Infrastructure (α<sub>G</sub>),alphaG,0.02,28,0.701
Infrastructure (α<sub>G</sub>),alphaG,0.02,29,0.717
Infrastructure (α<sub>G</sub>),alphaG,0.02,30,0.733
Infrastructure (α<sub>G</sub>),alphaG,0.02,31,0.749
Infrastructure (α<sub>G</sub>),alphaG,0.02,32,0.764
Infrastructure (α<sub>G</sub>),alphaG,0.02,33,0.78
Infrastructure (α<sub>G</sub>),alphaG,0.02,34,0.795
Infrastructure (α<sub>G</sub>),alphaG,0.02,35,0.81
Infrastructure (α<sub>G</sub>),alphaG,0.02,36,0.824
Infrastructure (α<sub>G</sub>),alphaG,0.02,37,0.839
Infrastructure (α<sub>G</sub>),alphaG,0.02,38,0.853
Infrastructure (α<sub>G</sub>),alphaG,0.02,39,0.867
Infrastructure (α<sub>G</sub>),alphaG,0.02,40,0.881
Infrastructure (α<sub>G</sub>),alphaG,0.02,41,0.895
Infrastructure (α<sub>G</sub>),alphaG,0.02,42,0.909
Infrastructure (α<sub>G</sub>),alphaG,0.02,43,0.922
Infrastructure (α<sub>G</sub>),alphaG,0.02,44,0.935
Infrastructure (α<sub>G</sub>),alphaG,0.02,45,0.948
Infrastructure (α<sub>G</sub>),alphaG,0.02,46,0.961
Infrastructure (α<sub>G</sub>),alphaG,0.02,47,0.974
Infrastructure (α<sub>G</sub>),alphaG,0.02,48,0.986
Infrastructure (α<sub>G</sub>),alphaG,0.02,49,0.999
Infrastructure (α<sub>G</sub>),alphaG,0.02,50,1.011
Infrastructure (α<sub>G</sub>),alphaG,0.02,51,1.023
