horizon_quarter,model,variable,pct_dev
1,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.433
2,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.156
3,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.131
4,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.102
5,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.075
6,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.049
7,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.026
8,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.006
9,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.013
10,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.029
11,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.044
12,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.057
13,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.068
14,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.078
15,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.087
16,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.095
17,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.103
18,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.109
19,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.114
20,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.119
21,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.123
22,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.126
23,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.13
24,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.132
25,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.134
26,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.136
27,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.137
28,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.139
29,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.139
30,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.14
31,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.14
32,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.141
33,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.141
34,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.14
35,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.14
36,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.14
37,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.139
38,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.139
39,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.138
40,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.137
41,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.136
42,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.135
43,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.134
44,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.133
45,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.132
46,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.131
47,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.13
48,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.129
49,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.128
50,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.126
51,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.125
52,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.124
53,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.123
54,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.121
55,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.12
56,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.119
57,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.118
58,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.116
59,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.115
60,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.114
61,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.112
62,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.111
63,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.11
64,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.109
65,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.107
66,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.106
67,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.105
68,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.104
69,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.102
70,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.101
71,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.1
72,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.099
73,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.098
74,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.096
75,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.095
76,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.094
77,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.093
78,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.092
79,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.091
80,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.089
81,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.088
82,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.087
83,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.086
84,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.085
85,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.084
86,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.083
87,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.082
88,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.081
89,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.08
90,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.079
91,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.078
92,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.077
93,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.076
94,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.075
95,Full model,Output (Y<sup>d</sup><sub>t</sub>),-0.074
