horizon_quarter,model,variable,pct_dev
1,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.4
2,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.21
3,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.226
4,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.235
5,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.241
6,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.247
7,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.253
8,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.258
9,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.264
10,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.269
11,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.275
12,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.28
13,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.285
14,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.29
15,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.295
16,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.301
17,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.306
18,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.311
19,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.315
20,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.32
21,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.325
22,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.33
23,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.335
24,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.339
25,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.344
26,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.349
27,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.353
28,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.358
29,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.362
30,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.367
31,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.371
32,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.375
33,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.379
34,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.384
35,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.388
36,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.392
37,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.396
38,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.4
39,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.404
40,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.408
41,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.412
42,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.416
43,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.42
44,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.424
45,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.427
46,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.431
47,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.435
48,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.438
49,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.442
50,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.445
51,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.449
52,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.452
53,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.456
54,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.459
55,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.463
56,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.466
57,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.469
58,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.472
59,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.476
60,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.479
61,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.482
62,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.485
63,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.488
64,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.491
65,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.494
66,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.497
67,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.5
68,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.503
69,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.505
70,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.508
71,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.511
72,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.514
73,Full model,Output (Y<sup>d</sup><sub>t</sub>),0.516
