horizon_quarter,shock,variable,pct_dev
0,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.0
1,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.753
2,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.07
3,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.116
4,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.099
5,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.074
6,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.048
7,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.026
8,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.005
9,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.013
10,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.03
11,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.044
12,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.057
13,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.069
14,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.079
15,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.088
16,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.096
17,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.103
18,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.109
19,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.115
20,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.119
21,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.123
22,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.127
23,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.13
24,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.132
25,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.135
26,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.136
27,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.138
28,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.139
29,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.14
30,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.14
31,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.141
32,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.141
33,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.141
34,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.141
35,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.141
36,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.14
37,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.14
38,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.139
39,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.138
40,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.137
41,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.137
42,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.136
43,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.135
44,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.134
45,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.133
46,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.131
47,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.13
48,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.129
49,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.128
50,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.127
51,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.126
52,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.124
53,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.123
54,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.122
55,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.12
56,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.119
57,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.118
58,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.117
59,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.115
60,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.114
61,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.113
62,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.111
63,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.11
64,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.109
65,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.108
66,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.106
67,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.105
68,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.104
69,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.103
70,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.102
71,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.1
72,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.099
73,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.098
74,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.097
75,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.096
76,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.094
77,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.093
78,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.092
79,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.091
80,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.09
81,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.089
82,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.088
83,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.087
84,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.085
85,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.084
86,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.083
87,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.082
88,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.081
89,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.08
90,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.079
91,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.078
92,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.077
93,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.076
94,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.075
95,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.074
96,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.073
97,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.073
98,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.072
99,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.071
100,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),-0.07
0,Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.0
1,Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.965
