experiment,instrument,param,param_value,is_baseline,mult_1y,mult_5y,mult_10y,mult_20y,mult_25y,mult_long
Model_HumanCapital_exp_gc,Gc,baseline,,1,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.02,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.054,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.08,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.1,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.17,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaG,0.2,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.05,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.1,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.15,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.2,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.25,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,mu,0.3,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaRD,0.03,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaRD,0.06,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaRD,0.09,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaRD,0.12,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,alphaRD,0.15,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,varsigma,0.1,0,0.232554,0.028435,-0.157619,-0.359867,-0.405054,-0.468122
Model_HumanCapital_exp_gc,Gc,varsigma,0.3,0,0.234549,0.024833,-0.173591,-0.397238,-0.448848,-0.523789
Model_HumanCapital_exp_gc,Gc,varsigma,0.5,0,0.237081,0.019765,-0.197454,-0.458275,-0.522446,-0.624006
Model_HumanCapital_exp_gc,Gc,varsigma,0.8,0,0.242180,0.009123,-0.264340,-0.689482,-0.832550,-1.264357
Model_HumanCapital_exp_gc,Gc,varsigma,0.9,0,0.243878,0.007819,-0.292868,-0.853671,-1.092985,-3.167272
Model_HumanCapital_exp_gc,Gc,varsigma,0.95,0,0.244322,0.009039,-0.302419,-0.948394,-1.265392,-15.580350
Model_HumanCapital_exp_igi,Igi,baseline,,1,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaG,0.02,0,0.244476,0.242392,0.283516,0.342034,0.360904,0.417767
Model_HumanCapital_exp_igi,Igi,alphaG,0.054,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaG,0.08,0,0.251550,0.944235,1.933126,3.446530,3.951171,5.467078
Model_HumanCapital_exp_igi,Igi,alphaG,0.1,0,0.253971,1.178864,2.485016,4.484684,5.151231,7.151175
Model_HumanCapital_exp_igi,Igi,alphaG,0.17,0,0.262694,2.002757,4.424631,8.131339,9.364474,13.049502
Model_HumanCapital_exp_igi,Igi,alphaG,0.2,0,0.266553,2.357142,5.259721,9.700449,11.176360,15.579286
Model_HumanCapital_exp_igi,Igi,mu,0.05,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,mu,0.1,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,mu,0.15,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,mu,0.2,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,mu,0.25,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,mu,0.3,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaRD,0.03,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaRD,0.06,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaRD,0.09,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaRD,0.12,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,alphaRD,0.15,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,varsigma,0.1,0,0.245832,0.674229,1.280883,2.035739,2.218578,2.491456
Model_HumanCapital_exp_igi,Igi,varsigma,0.3,0,0.246581,0.674153,1.288221,2.075276,2.272318,2.578166
Model_HumanCapital_exp_igi,Igi,varsigma,0.5,0,0.247394,0.669321,1.285882,2.113815,2.333658,2.704429
Model_HumanCapital_exp_igi,Igi,varsigma,0.8,0,0.248450,0.639728,1.217180,2.099415,2.393563,3.278498
Model_HumanCapital_exp_igi,Igi,varsigma,0.9,0,0.248903,0.621570,1.150249,1.975931,2.287542,4.713220
Model_HumanCapital_exp_igi,Igi,varsigma,0.95,0,0.249376,0.613987,1.110053,1.858832,2.150820,12.607149
Model_HumanCapital_exp_ige,Ige,baseline,,1,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.02,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.054,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.08,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.1,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.17,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaG,0.2,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,mu,0.05,0,0.286646,-0.129179,-0.165337,0.818781,1.453735,4.350451
Model_HumanCapital_exp_ige,Ige,mu,0.1,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,mu,0.15,0,0.375642,-0.404887,0.040039,3.874560,6.083531,15.631191
Model_HumanCapital_exp_ige,Ige,mu,0.2,0,0.420186,-0.542366,0.146216,5.422019,8.427090,21.297067
Model_HumanCapital_exp_ige,Ige,mu,0.25,0,0.464742,-0.679519,0.254946,6.982919,10.790195,26.980592
Model_HumanCapital_exp_ige,Ige,mu,0.3,0,0.509318,-0.816388,0.366119,8.557220,13.172863,32.681718
Model_HumanCapital_exp_ige,Ige,alphaRD,0.03,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaRD,0.06,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaRD,0.09,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaRD,0.12,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,alphaRD,0.15,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,varsigma,0.1,0,0.315234,-0.220473,0.261873,3.148925,4.494159,7.655525
Model_HumanCapital_exp_ige,Ige,varsigma,0.3,0,0.317566,-0.231456,0.222687,3.126217,4.518459,7.930846
Model_HumanCapital_exp_ige,Ige,varsigma,0.5,0,0.321197,-0.246499,0.152239,3.023051,4.467620,8.312344
Model_HumanCapital_exp_ige,Ige,varsigma,0.8,0,0.331134,-0.267182,-0.063878,2.340093,3.759044,9.982247
Model_HumanCapital_exp_ige,Ige,varsigma,0.9,0,0.335457,-0.255485,-0.136328,1.777377,2.961900,14.360860
Model_HumanCapital_exp_ige,Ige,varsigma,0.95,0,0.336413,-0.242693,-0.147445,1.452650,2.405175,35.362412
