experiment,instrument,param,param_value,is_baseline,mult_1y,mult_5y,mult_10y,mult_20y,mult_25y,mult_long
Model_HumanCapital_exp_igi_perm,Igi,baseline,,1,0.227113,0.546754,0.949559,1.562997,1.799225,3.474115
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.03,0,0.245025,0.427497,0.669957,1.041883,1.185486,2.211797
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.054,0,0.227113,0.546754,0.949559,1.562997,1.799225,3.474115
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.075,0,0.211662,0.651387,1.195493,2.023151,2.341826,4.586986
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.1,0,0.193537,0.776282,1.489826,2.576077,2.994623,5.922177
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.122,0,0.177828,0.886479,1.750231,3.067290,3.575287,7.106612
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.15,0,0.158160,1.027102,2.083533,3.698796,4.322784,8.627143
Model_HumanCapital_exp_ige_perm,Ige,baseline,,1,0.914610,0.437239,0.491592,1.345533,1.892297,8.010996
Model_HumanCapital_exp_ige_perm,Ige,mu,0.05,0,0.595357,0.360137,0.407004,0.865050,1.148519,4.279455
Model_HumanCapital_exp_ige_perm,Ige,mu,0.1,0,0.914610,0.437239,0.491592,1.345533,1.892297,8.010996
Model_HumanCapital_exp_ige_perm,Ige,mu,0.15,0,1.225893,0.510416,0.576484,1.839192,2.659617,11.848173
Model_HumanCapital_exp_ige_perm,Ige,mu,0.2,0,1.529530,0.579838,0.661726,2.346151,3.450977,15.796777
Model_HumanCapital_exp_grd_perm,Grd,baseline,,1,0.123499,0.252634,0.903150,2.030605,2.473692,5.542210
Model_HumanCapital_exp_grd_perm,Grd,alphaRD,0.05,0,0.185768,0.267345,0.652894,1.307987,1.563339,3.349805
Model_HumanCapital_exp_grd_perm,Grd,alphaRD,0.07,0,0.154271,0.260549,0.779518,1.669910,2.018280,4.442493
Model_HumanCapital_exp_grd_perm,Grd,alphaRD,0.09,0,0.123499,0.252634,0.903150,2.030605,2.473692,5.542210
Model_HumanCapital_exp_grd_perm,Grd,alphaRD,0.11,0,0.093435,0.243669,1.023877,2.390107,2.929613,6.649098
Model_HumanCapital_exp_grd_perm,Grd,alphaRD,0.13,0,0.064064,0.233721,1.141783,2.748447,3.386085,7.763299
